id,basename,title,site_name,medium,medium_label,spoilers,sentiment,sentiment_label,scenario_id,focus,disclosure_position,body_characters,body_sha256,date,status
CKW-0001,chiikawa-demo-0001,ちいかわの映画 — 小さな仕草を何度も思い出す [CKW-0001],アニメの感想,movie,映画,0,positive,肯定的,S01,友情と沈黙,none,421,e3e8df7eace6fa21edc91d7fdd92d98e5b94074ce8af9c195920a1186206003a,2025-03-15 10:00:00,Draft
CKW-0002,chiikawa-demo-0002,ちいかわの映画 — 三人の距離が心に残った [CKW-0002],アニメの感想,movie,映画,1,positive,肯定的,S10,余白と静けさ,tail,517,580384bf5856f36ff07450e5a312c77180b423ac1b2ba5bb66e1def246bdd19c,2025-05-27 11:00:00,Draft
CKW-0003,chiikawa-demo-0003,ちいかわの短編アニメ — 見終わって残った物足りなさ [CKW-0003],アニメの感想,tv,テレビアニメ,0,negative,否定的,S19,物を大切にする気持ち,none,413,6ab380413701011c41b1841f8aa9eb984d06e7fe2b97e8d8a986890685454ff3,2025-08-08 12:00:00,Draft
CKW-0004,chiikawa-demo-0004,ちいかわの短編アニメ — 静かな時間まで楽しめた [CKW-0004],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S03,色と不安,middle,544,4d9b7ff800719e2366c46c0ef6618e5beb5908fcc20cd3603680460b9a1b429e,2025-10-20 13:00:00,Draft
CKW-0005,chiikawa-demo-0005,ちいかわの映画 — この空気をまた味わいたい [CKW-0005],アニメの感想,movie,映画,0,positive,肯定的,S13,小さな失敗,none,386,81a83007d82d3cb0ffa00565e2a436e8949f5e107e6d64a7ff8044c9a59e15c9,2026-01-01 14:00:00,Draft
CKW-0006,chiikawa-demo-0006,ちいかわの映画 — 見終わってから好きが増えた [CKW-0006],アニメの感想,movie,映画,1,positive,肯定的,S22,音楽と距離感,tail,526,c75d3254ea798c9d87c53e8dfc3612b6ee577ab163e7a9b9488a6181620603f8,2026-03-15 15:00:00,Draft
CKW-0007,chiikawa-demo-0007,ちいかわの短編アニメ — 見終わってから好きが増えた [CKW-0007],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S06,背景美術,none,419,3b38692db107038abd5b7b58606b107e2ed43b62eefa6905baef0ae8a5c4bfaa,2025-01-12 16:00:00,Draft
CKW-0008,chiikawa-demo-0008,ちいかわの短編アニメ — 小さな仕草を何度も思い出す [CKW-0008],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S15,視点と大きさ,middle,536,d060ab20134be68d8af47f4408565c7a44534001fc14bbd24ba313554bc6c21f,2025-03-26 17:00:00,Draft
CKW-0009,chiikawa-demo-0009,ちいかわの映画 — 三人の距離が心に残った [CKW-0009],アニメの感想,movie,映画,0,positive,肯定的,S25,居場所と気遣い,none,406,ad1e69edf1a1ba7148db2dd0636132adf7a5541665c8d9d072d6bae8561d17bd,2025-06-07 18:00:00,Draft
CKW-0010,chiikawa-demo-0010,ちいかわの映画 — 細部は好きでも全体が惜しい [CKW-0010],アニメの感想,movie,映画,1,negative,否定的,S09,追いかける場面,middle,532,78abf7ffe2803bf9e16e021e96fc15d6e44242535773288019a60f72731ebdec,2025-08-19 09:00:00,Draft
CKW-0011,chiikawa-demo-0011,ちいかわの短編アニメ — 静かな時間まで楽しめた [CKW-0011],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S18,音のギャグ,none,403,80e49d865b5cc8ff5f5e39d43a88d465e874edd8c1d2a5dc778550165372dbc9,2025-10-31 10:00:00,Draft
