id,basename,title,topic_id,topic,scenario,team,staff_count,launched,actual_difficulty,resolved,mentions_price,price_only_at_end,body_characters,date,status,body_sha256
JEV-0001,jev-demo-0001,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0001],T01,国産クラウドへのサイト移行,S01,あさぎ情報室,4,1,1,1,1,0,587,2024-10-31 04:00:00,Draft,cf09b186617a40e9d7a8e366473647c5aff9071205259a1fb0134c2c2dd60ca8
JEV-0002,jev-demo-0002,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0002],T01,国産クラウドへのサイト移行,S01,つむぎ広報室,7,1,1,1,1,0,595,2025-08-30 23:00:00,Draft,08c4bd7b093a38da1f8d4315cb83f7323675650f84a7eb498caf76684eae3f77
JEV-0003,jev-demo-0003,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0003],T01,国産クラウドへのサイト移行,S01,こもれび制作室,12,1,1,1,1,0,596,2026-06-30 18:00:00,Draft,b12634c8aa6905d9ee12df657bc57b930602ce631db4198e51b460f1f6090127
JEV-0004,jev-demo-0004,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0004],T01,国産クラウドへのサイト移行,S01,みなと企画室,18,1,1,1,1,0,600,2024-09-14 05:00:00,Draft,1d72516421538c6229766898a028b7e624e7c9a57af953e3c883df859a29f21a
JEV-0005,jev-demo-0005,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0005],T01,国産クラウドへのサイト移行,S01,しおり運用室,25,1,1,1,1,0,605,2025-07-15 00:00:00,Draft,9adf60484f0f2715ad213141113a8dfac0346c12d35748c6764b1178da714442
JEV-0006,jev-demo-0006,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0006],T01,国産クラウドへのサイト移行,S02,あさぎ情報室,4,1,1,1,0,0,529,2026-05-14 19:00:00,Draft,fc63103cd6e19edeb5afcffe7bff806bd5e67d3dc3771760d995399eccda2e57
JEV-0007,jev-demo-0007,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0007],T01,国産クラウドへのサイト移行,S02,つむぎ広報室,7,1,1,1,0,0,537,2024-07-29 06:00:00,Draft,4c53ff7d3fc45d0ee1159a9d60a5642167b348d2c99d28d6f69cea6a9705537b
JEV-0008,jev-demo-0008,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0008],T01,国産クラウドへのサイト移行,S02,こもれび制作室,12,1,1,1,0,0,538,2025-05-29 01:00:00,Draft,57ca518f441c563c23ce3a0e867061de93779ef526fc6ad92fca4cb26ad3ab42
JEV-0009,jev-demo-0009,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0009],T01,国産クラウドへのサイト移行,S02,みなと企画室,18,1,1,1,0,0,542,2026-03-28 20:00:00,Draft,4d7bad86781ab781beb0defa7b284801f5333f20675f891a6fafdcaf1a6814b1
JEV-0010,jev-demo-0010,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0010],T01,国産クラウドへのサイト移行,S02,しおり運用室,25,1,1,1,0,0,547,2024-06-12 07:00:00,Draft,3afd0f63b4da49bfc25135acb6e65f9756a9dd1f23485b31a1f3bb9a84ebf7bc
JEV-0011,jev-demo-0011,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0011],T01,国産クラウドへのサイト移行,S03,あさぎ情報室,4,1,0,0,0,0,444,2025-04-12 02:00:00,Draft,23605e2ccffb3af75db2f8741eeef8ccfb9e81334f9093d368982788eca93ed4
JEV-0012,jev-demo-0012,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0012],T01,国産クラウドへのサイト移行,S03,つむぎ広報室,7,1,0,0,0,0,452,2026-02-09 21:00:00,Draft,d98b8ee152c2e05bd0dbafa81b0b9d7ef961c459d3346ef0da73e8007c9bc91b
JEV-0013,jev-demo-0013,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0013],T01,国産クラウドへのサイト移行,S03,こもれび制作室,12,1,0,0,0,0,453,2024-04-26 08:00:00,Draft,e7047cd29bb674f94342f87b8c20f13dd892b049f1d78c053ad80bd33f212084
JEV-0014,jev-demo-0014,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0014],T01,国産クラウドへのサイト移行,S03,みなと企画室,18,1,0,0,0,0,457,2025-02-24 03:00:00,Draft,d349e0ff23ef2295654c28f773852614b1f343fbc6f75b3f7e3b16a2c3dad420
JEV-0015,jev-demo-0015,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0015],T01,国産クラウドへのサイト移行,S03,しおり運用室,25,1,0,0,0,0,462,2025-12-24 22:00:00,Draft,0dd32119ee87f664d2ebf02d08cc9b3a75e125b0b8ab05318489ac91b4764c18
JEV-0016,jev-demo-0016,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0016],T01,国産クラウドへのサイト移行,S04,あさぎ情報室,4,0,0,0,0,0,534,2024-03-10 09:00:00,Draft,c58da81fb64d50c4bf8aeb6eb0febc5ff8fe41798a5e16517cae7c8e1f31563d
JEV-0017,jev-demo-0017,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0017],T01,国産クラウドへのサイト移行,S04,つむぎ広報室,7,0,0,0,0,0,542,2025-01-08 04:00:00,Draft,fa7f09b5696a3ac49770bfca864d43a9a9d155f16b9eb18a85a5b4195509ba21
JEV-0018,jev-demo-0018,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0018],T01,国産クラウドへのサイト移行,S04,こもれび制作室,12,0,0,0,0,0,543,2025-11-07 23:00:00,Draft,fb352d59fa61368b1a4b1c5631d6698a513d36790f37a6df59cc8c5e209655fc
JEV-0019,jev-demo-0019,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0019],T01,国産クラウドへのサイト移行,S04,みなと企画室,18,0,0,0,0,0,547,2024-01-23 10:00:00,Draft,5e1719654d835e945b3e2d1b5705a2cf462b9fcf610c5a658748438a25d13914
JEV-0020,jev-demo-0020,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0020],T01,国産クラウドへのサイト移行,S04,しおり運用室,25,0,0,0,0,0,552,2024-11-22 05:00:00,Draft,9bbf26ff57b3824f070f1620dcea797e94eb463ace61ed016a929525c972e72e
JEV-0021,jev-demo-0021,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0021],T01,国産クラウドへのサイト移行,S05,あさぎ情報室,4,0,0,0,1,0,521,2025-09-22 00:00:00,Draft,ecbd5e618fb52693b4b8c01d0ee146f9593f88c3a4b31c7b41092739913c6290
JEV-0022,jev-demo-0022,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0022],T01,国産クラウドへのサイト移行,S05,つむぎ広報室,7,0,0,0,1,0,531,2026-07-22 19:00:00,Draft,65d893683cda15d78018fe15ebd82b3c7706c8646b3c1a8effcddb9ea1f61f30
JEV-0023,jev-demo-0023,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0023],T01,国産クラウドへのサイト移行,S05,こもれび制作室,12,0,0,0,1,0,533,2024-10-06 06:00:00,Draft,ce874e0b093c06d37f6993b7236c94fb8fad23ba4b52f8b64f3d933ec9aaae93
JEV-0024,jev-demo-0024,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0024],T01,国産クラウドへのサイト移行,S05,みなと企画室,18,0,0,0,1,0,536,2025-08-06 01:00:00,Draft,775996f2eef0180cb8f4a9958b0580e58ac128c43eadc25c35e0fceae1d2a0b0
JEV-0025,jev-demo-0025,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0025],T01,国産クラウドへのサイト移行,S05,しおり運用室,25,0,0,0,1,0,543,2026-06-05 20:00:00,Draft,804d989fbb5253659385d9480910466055428fd9e43aebffacfb448ecc17e210
JEV-0026,jev-demo-0026,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0026],T01,国産クラウドへのサイト移行,S06,あさぎ情報室,4,1,0,0,1,0,502,2024-08-20 07:00:00,Draft,7f6b9ac901212b3f80cdef266d6ed8e89d1d4bfa7fbc16189436382a2353ffea
JEV-0027,jev-demo-0027,国産クラウドへのサイト移行の担当者の記録 — つむぎ広報室 [JEV-0027],T01,国産クラウドへのサイト移行,S06,つむぎ広報室,7,1,0,0,1,0,510,2025-06-20 02:00:00,Draft,c25e18605ed1963298feb624aa971ab4fadf0045842e321a62e4ec8114561b9c
JEV-0028,jev-demo-0028,国産クラウドへのサイト移行の作業日誌 — こもれび制作室 [JEV-0028],T01,国産クラウドへのサイト移行,S06,こもれび制作室,12,1,0,0,1,0,511,2026-04-19 21:00:00,Draft,80b84054ae03002b98784ddc8b7a7a6ef3e6fa6b83842bc5a9e9e48c8d6958d1
JEV-0029,jev-demo-0029,国産クラウドへのサイト移行の現場からの報告 — みなと企画室 [JEV-0029],T01,国産クラウドへのサイト移行,S06,みなと企画室,18,1,0,0,1,0,515,2024-07-04 08:00:00,Draft,ffd0092b4ef17de4469be468d39a1bd293599f7d8256d0202a9b511f6c8a9741
JEV-0030,jev-demo-0030,国産クラウドへのサイト移行の取り組みのメモ — しおり運用室 [JEV-0030],T01,国産クラウドへのサイト移行,S06,しおり運用室,25,1,0,0,1,0,520,2025-05-04 03:00:00,Draft,2411f29ede5d6aa47257fce3d4f5311247184ba88a78b489f58b42513d8a2b4a
JEV-0031,jev-demo-0031,国産クラウドへのサイト移行の運用ノート — あさぎ情報室 [JEV-0031],T01,国産クラウドへのサイト移行,S07,あさぎ情報室,4,1,0,0,1,1,502,2026-03-03 22:00:00,Draft,38f16b2e0d7cd7c5553286e18f2fda8888c26696633d3b9dc0aad0d3af622df5
